key;en;da
albumDeleted;Album deleted successfully;Album slettet 
albumNotFound;Album not found;Album ikke fundet
invalidPassword;Invalid password;Ugyldig adgangskode
loggedOut;Logged out successfully;Logget ud 
loginSucceeded;Login succeeded;Login lykkedes
loginFailed;Login failed;Login mislykkedes
noUser;User not found. Please sign up first;Bruger ikke fundet. Opret dig først
signupFailed;Sign up failed;Registrering mislykkedes
signupSucceeded;Sign up succeeded;Registrering lykkedes
unAuthorizedUser;Unuthorized user;Uautoriseret bruger
userAlreadyExist;A profile with this email already exists. Try logging in instead;Der findes en profil med denne e-mail. Prøv at logge ind i stedet

